Frequency,PowerLevel = -100,PowerLevel = -99,PowerLevel = -98,PowerLevel = -97
471,0.000001,0,0,0
472,0.000002,0,0,0
473,0.000001,0.000001,0,0
474,0.000005,0,0,0
475,0.000003,0,0,0
476,0.000004,0,0,0
477,0.000003,0,0.000001,0
478,0.000003,0,0,0
479,0.000003,0,0,0
480,0.000013,0.000001,0,0
481,0.000004,0.000001,0,0
482,0.000008,0,0,0
483,0.000008,0.000001,0,0
484,0.000007,0.000001,0,0
485,0.000004,0.000001,0,0
486,0.00001,0.000001,0,0
487,0.00001,0.000002,0,0
488,0.000007,0.000001,0,0
489,0.000007,0.000001,0,0
490,0.000011,0.000001,0,0
491,0.000006,0.000001,0,0
492,0.000015,0.000001,0,0
493,0.00001,0,0,0
494,0.000009,0,0,0
495,0.000006,0,0,0
496,0.000005,0,0,0
497,0.000003,0,0,0
498,0.000003,0,0,0
499,0.000006,0,0,0
500,0.000005,0,0,0
501,0.000005,0,0,0
502,0.000003,0,0,0
503,0.000005,0,0,0
504,0.000003,0,0,0
505,0.000002,0,0,0
506,0.000005,0,0,0
507,0.000003,0,0,0
508,0.000005,0,0,0
509,0.000006,0,0,0
510,0.000005,0,0,0
511,0.000002,0.000001,0,0
512,0.000005,0,0,0
513,0.000004,0,0,0
514,0.000004,0,0,0
515,0.000004,0,0,0
516,0.000008,0,0,0
517,0.000004,0,0,0
518,0.000003,0,0,0
519,0.000004,0.000001,0,0
520,0.000003,0,0,0
521,0.000004,0,0,0
522,0.000005,0,0,0
523,0.000006,0.000001,0,0
524,0.000006,0.000001,0,0
525,0.000004,0,0,0
526,0.000008,0,0,0
527,0.000005,0,0,0
528,0.000012,0.000001,0,0
529,0.000003,0,0,0
530,0.000008,0.000001,0,0
531,0.000005,0,0,0
532,0.000009,0.000001,0,0
533,0.000006,0,0,0
534,0.000007,0,0,0
